datetime,매출금액
2022-04-18,197
2022-04-19,197
2022-04-20,197
2022-04-21,197
2022-04-22,197
2022-04-23,197
2022-04-24,195
2022-04-25,197
2022-04-26,196
2022-04-27,196
2022-04-28,194
2022-04-29,196
2022-04-30,198
2022-05-01,197
2022-05-02,197
2022-05-03,198
2022-05-04,199
2022-05-05,199
2022-05-06,198
2022-05-07,199
2022-05-08,196
2022-05-09,198
2022-05-10,199
2022-05-11,199
2022-05-12,200
2022-05-13,200
2022-05-14,200
2022-05-15,198
2022-05-16,199
2022-05-17,198
2022-05-18,199
2022-05-19,201
2022-05-20,202
2022-05-21,202
2022-05-22,201
2022-05-23,202
2022-05-24,203
2022-05-25,203
2022-05-26,203
2022-05-27,202
2022-05-28,202
2022-05-29,201
2022-05-30,202
2022-05-31,204
2022-06-01,204
2022-06-02,203
2022-06-03,203
2022-06-04,204
2022-06-05,202
2022-06-06,204
2022-06-07,203
2022-06-08,203
2022-06-09,203
2022-06-10,205
2022-06-11,205
2022-06-12,204
2022-06-13,205
2022-06-14,204
2022-06-15,203
2022-06-16,204
2022-06-17,205
2022-06-18,205
2022-06-19,204
2022-06-20,204
2022-06-21,205
2022-06-22,205
2022-06-23,205
2022-06-24,204
2022-06-25,204
2022-06-26,203
2022-06-27,204
2022-06-28,204
2022-06-29,204
2022-06-30,201
2022-07-01,203
2022-07-02,204
2022-07-03,203
2022-07-04,204
2022-07-05,204
2022-07-06,204
2022-07-07,204
2022-07-08,204
2022-07-09,204
2022-07-10,203
2022-07-11,204
2022-07-12,204
2022-07-13,203
2022-07-14,204
2022-07-15,204
2022-07-16,204
2022-07-17,202
2022-07-18,204
2022-07-19,203
2022-07-20,203
2022-07-21,202
2022-07-22,204
2022-07-23,204
2022-07-24,204
2022-07-25,205
2022-07-26,205
2022-07-27,206
2022-07-28,206
2022-07-29,206
2022-07-30,206
2022-07-31,204
2022-08-01,205
2022-08-02,206
2022-08-03,206
2022-08-04,206
2022-08-05,206
2022-08-06,205
2022-08-07,205
2022-08-08,206
2022-08-09,205
2022-08-10,205
2022-08-11,204
2022-08-12,206
2022-08-13,207
2022-08-14,206
2022-08-15,206
2022-08-16,207
2022-08-17,206
2022-08-18,207
2022-08-19,208
2022-08-20,208
2022-08-21,207
2022-08-22,208
2022-08-23,208
2022-08-24,208
2022-08-25,208
2022-08-26,209
2022-08-27,209
2022-08-28,208
2022-08-29,209
2022-08-30,208
2022-08-31,208
2022-09-01,208
2022-09-02,208
2022-09-03,208
2022-09-04,206
2022-09-05,204
2022-09-06,209
2022-09-07,207
2022-09-08,209
2022-09-09,209
2022-09-10,202
2022-09-11,201
2022-09-12,205
2022-09-13,208
2022-09-14,208
2022-09-15,207
2022-09-16,208
2022-09-17,207
2022-09-18,208
2022-09-19,208
2022-09-20,208
2022-09-21,208
2022-09-22,208
2022-09-23,209
2022-09-24,209
2022-09-25,208
2022-09-26,209
2022-09-27,210
2022-09-28,210
2022-09-29,211
2022-09-30,210
2022-10-01,210
2022-10-02,210
2022-10-03,211
2022-10-04,210
2022-10-05,211
2022-10-06,211
2022-10-07,211
2022-10-08,211
2022-10-09,207
2022-10-10,211
2022-10-11,211
2022-10-12,211
2022-10-13,212
2022-10-14,212
2022-10-15,211
2022-10-16,210
2022-10-17,211
2022-10-18,212
2022-10-19,212
2022-10-20,212
2022-10-21,212
2022-10-22,211
2022-10-23,210
2022-10-24,214
2022-10-25,214
2022-10-26,214
2022-10-27,214
2022-10-28,214
2022-10-29,213
2022-10-30,212
2022-10-31,214
2022-11-01,214
2022-11-02,213
2022-11-03,214
2022-11-04,214
2022-11-05,212
2022-11-06,210
2022-11-07,213
2022-11-08,214
2022-11-09,214
2022-11-10,215
2022-11-11,214
2022-11-12,213
2022-11-13,211
2022-11-14,215
2022-11-15,214
2022-11-16,215
2022-11-17,214
2022-11-18,215
2022-11-19,214
2022-11-20,213
2022-11-21,215
2022-11-22,214
2022-11-23,215
2022-11-24,216
2022-11-25,216
2022-11-26,215
2022-11-27,213
2022-11-28,215
2022-11-29,215
2022-11-30,216
2022-12-01,215
2022-12-02,214
2022-12-03,213
2022-12-04,211
2022-12-05,215
2022-12-06,214
2022-12-07,215
2022-12-08,215
2022-12-09,216
2022-12-10,214
2022-12-11,213
2022-12-12,214
2022-12-13,216
2022-12-14,216
2022-12-15,216
2022-12-16,216
2022-12-17,209
2022-12-18,211
2022-12-19,215
2022-12-20,216
2022-12-21,217
2022-12-22,217
2022-12-23,218
2022-12-24,216
2022-12-25,214
2022-12-26,219
2022-12-27,220
2022-12-28,219
2022-12-29,220
2022-12-30,219
2022-12-31,219
2023-01-01,219
2023-01-02,221
2023-01-03,222
2023-01-04,222
2023-01-05,221
2023-01-06,221
2023-01-07,221
2023-01-08,218
2023-01-09,220
2023-01-10,221
2023-01-11,222
2023-01-12,222
2023-01-13,222
2023-01-14,221
2023-01-15,220
2023-01-16,222
2023-01-17,222
2023-01-18,223
2023-01-19,224
2023-01-20,224
2023-01-21,222
2023-01-22,214
2023-01-23,216
2023-01-24,221
2023-01-25,223
2023-01-26,224
2023-01-27,224
2023-01-28,223
2023-01-29,220
2023-01-30,223
2023-01-31,223
2023-02-01,225
2023-02-02,225
2023-02-03,225
2023-02-04,225
2023-02-05,221
2023-02-06,226
2023-02-07,226
2023-02-08,226
2023-02-09,225
2023-02-10,226
2023-02-11,225
2023-02-12,222
2023-02-13,225
2023-02-14,225
2023-02-15,223
2023-02-16,225
2023-02-17,227
2023-02-18,226
2023-02-19,225
2023-02-20,228
2023-02-21,226
2023-02-22,226
2023-02-23,226
2023-02-24,226
2023-02-25,228
2023-02-26,224
2023-02-27,228
2023-02-28,229
2023-03-01,226
2023-03-02,226
2023-03-03,226
2023-03-04,226
2023-03-05,226
2023-03-06,227
2023-03-07,227
2023-03-08,228
2023-03-09,228
2023-03-10,229
2023-03-11,227
2023-03-12,226
2023-03-13,229
2023-03-14,228
2023-03-15,228
2023-03-16,229
2023-03-17,231
2023-03-18,229
2023-03-19,229
2023-03-20,229
2023-03-21,228
2023-03-22,229
2023-03-23,228
2023-03-24,229
2023-03-25,229
2023-03-26,227
2023-03-27,229
2023-03-28,229
2023-03-29,230
2023-03-30,229
2023-03-31,234
2023-04-01,233
2023-04-02,231
2023-04-03,232
2023-04-04,232
2023-04-05,232
2023-04-06,233
2023-04-07,234
2023-04-08,232
2023-04-09,229
2023-04-10,231
2023-04-11,228
2023-04-12,230
2023-04-13,231
2023-04-14,233
2023-04-15,231
2023-04-16,230
2023-04-17,232
2023-04-18,235
2023-04-19,234
2023-04-20,235
2023-04-21,236
2023-04-22,234
2023-04-23,232
2023-04-24,233
2023-04-25,235
2023-04-26,235
2023-04-27,235
2023-04-28,236
2023-04-29,234
2023-04-30,233
2023-05-01,234
2023-05-02,236
2023-05-03,234
2023-05-04,235
2023-05-05,235
2023-05-06,233
2023-05-07,233
2023-05-08,237
2023-05-09,236
2023-05-10,238
2023-05-11,237
2023-05-12,238
2023-05-13,237
2023-05-14,233
2023-05-15,236
2023-05-16,236
2023-05-17,238
2023-05-18,235
2023-05-19,237
2023-05-20,237
2023-05-21,235
2023-05-22,236
2023-05-23,236
2023-05-24,237
2023-05-25,236
2023-05-26,237
2023-05-27,235
2023-05-28,235
2023-05-29,235
2023-05-30,238
2023-05-31,236
2023-06-01,237
2023-06-02,235
2023-06-03,238
2023-06-04,236
2023-06-05,238
2023-06-06,236
2023-06-07,238
2023-06-08,238
2023-06-09,238
2023-06-10,237
2023-06-11,237
2023-06-12,238
2023-06-13,239
2023-06-14,236
2023-06-15,237
2023-06-16,238
2023-06-17,238
2023-06-18,235
2023-06-19,237
2023-06-20,238
2023-06-21,237
2023-06-22,239
2023-06-23,238
2023-06-24,238
2023-06-25,227
2023-06-26,237
2023-06-27,239
2023-06-28,239
2023-06-29,239
2023-06-30,240
2023-07-01,246
2023-07-02,244
2023-07-03,247
2023-07-04,246
2023-07-05,247
2023-07-06,247
2023-07-07,247
2023-07-08,244
2023-07-09,239
2023-07-10,245
2023-07-11,244
2023-07-12,246
2023-07-13,246
2023-07-14,245
2023-07-15,242
2023-07-16,242
2023-07-17,245
2023-07-18,246
2023-07-19,248
2023-07-20,247
2023-07-21,247
2023-07-22,245
2023-07-23,242
2023-07-24,240
2023-07-25,247
2023-07-26,246
2023-07-27,248
2023-07-28,248
2023-07-29,247
2023-07-30,242
2023-07-31,239
2023-08-01,246
2023-08-02,247
2023-08-03,245
2023-08-04,246
2023-08-05,244
2023-08-06,243
2023-08-07,246
2023-08-08,245
2023-08-09,246
2023-08-10,239
2023-08-11,243
2023-08-12,242
2023-08-13,241
2023-08-14,244
2023-08-15,243
2023-08-16,244
2023-08-17,244
2023-08-18,245
2023-08-19,244
2023-08-20,242
2023-08-21,243
2023-08-22,242
2023-08-23,243
2023-08-24,242
2023-08-25,242
2023-08-26,242
2023-08-27,239
2023-08-28,242
2023-08-29,240
2023-08-30,241
2023-08-31,234
2023-09-01,242
2023-09-02,241
2023-09-03,238
2023-09-04,241
2023-09-05,240
2023-09-06,241
2023-09-07,241
2023-09-08,241
2023-09-09,239
2023-09-10,237
2023-09-11,241
2023-09-12,241
2023-09-13,240
2023-09-14,240
2023-09-15,240
2023-09-16,239
2023-09-17,237
2023-09-18,239
2023-09-19,239
2023-09-20,238
2023-09-21,239
2023-09-22,240
2023-09-23,240
2023-09-24,237
2023-09-25,236
2023-09-26,238
2023-09-27,240
2023-09-28,237
2023-09-29,230
2023-09-30,231
